,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
704,304.58,305.19,303.26,22227.7197189006,0.9972,0.063,0.025,0.912,0.2336050118266613,0.5023163520328467,0.0
705,304.21,305.03,304.21,4622.8902643,0.9893,0.055,0.021,0.924,0.15093614718614715,0.40827380952380943,1.0
706,305.69,305.69,302.32,90028.6145533252,0.9968,0.063,0.045,0.893,0.14898898071625347,0.40999212908303817,0.0
707,306.93,307.29,305.57,63218.5409650305,0.9984,0.064,0.035,0.901,0.12862560983989554,0.48595901188758317,0.0
708,303.78,306.21,302.38,95267.10591961078,0.9996,0.103,0.049,0.848,0.15007407407407408,0.4482298647854205,1.0
709,300.85,304.23,300.73,105113.89537854241,0.9997,0.118,0.059,0.823,0.15523721194630283,0.4334432305068668,1.0
710,301.84,301.91,300.53,29934.510682328302,0.9997,0.111,0.028,0.861,0.18397005772005776,0.4589276695526696,0.0
711,303.01,303.02,301.22,58121.84305819499,0.9997,0.117,0.034,0.85,0.18619431643625192,0.5249167946748592,0.0
712,302.61,303.54,302.35,23643.573731992597,0.9995,0.109,0.038,0.853,0.14471122373561401,0.4418464259317918,1.0
713,301.73,303.03,301.1,39045.1552070139,0.9994,0.106,0.045,0.848,0.1652387101534829,0.4962813606847698,1.0
714,305.32,305.56,301.8,81547.82785119898,0.9947,0.072,0.046,0.882,0.12973430735930735,0.4043333333333334,0.0
715,302.89,304.85,302.55,23314.881614023998,0.9997,0.118,0.057,0.824,0.19531315135481794,0.4391484621345735,1.0
716,299.99,302.71,299.97,23777.2376484198,0.9995,0.101,0.034,0.866,0.18317276021080364,0.45633822699040094,1.0
717,298.25,299.96,298.15,58653.1766655824,0.8952,0.052,0.045,0.904,0.0761904761904762,0.38591836734693885,1.0
718,297.94,298.49,295.7,64481.7436981638,0.9996,0.115,0.035,0.849,0.283360904968048,0.4538350340136051,1.0
719,296.47,299.72,296.41,39562.18285824,0.9997,0.139,0.051,0.81,0.26380145278450357,0.5498722087705138,1.0
720,295.64,297.73,293.52,58667.8199811392,0.9972,0.1,0.069,0.831,0.21231572481572475,0.45213671463671457,1.0
721,295.67,296.48,294.3,26569.424049869598,0.9922,0.061,0.034,0.905,0.09575757575757574,0.34277056277056284,0.0
722,292.06,296.61,291.65,60730.646324836496,0.9978,0.07,0.028,0.903,0.19822454844006562,0.4284927476737821,1.0
723,296.23,297.0,290.42,64007.68984985831,0.9993,0.119,0.028,0.853,0.19951260504201684,0.43910084033613445,0.0
724,299.49,299.49,296.29,64820.9118742884,0.9991,0.098,0.039,0.863,0.11085413504244672,0.4039628661381909,0.0
725,303.86,303.86,298.88,28944.4072208727,0.9988,0.115,0.06,0.824,0.09581219806763286,0.4532518115942028,0.0
752,327.55,330.02,327.37,14843.3626633194,0.9931,0.054,0.019,0.927,0.13666837548416494,0.44151813099181525,1.0
753,328.15,328.72,326.88,34193.0467424016,0.9935,0.052,0.018,0.93,0.11599494036202895,0.36937868741666213,0.0
754,326.44,327.94,326.28,78419.1398253988,0.9398,0.069,0.058,0.872,0.08267039964866053,0.4697271158792899,1.0
755,325.42,326.63,325.29,32351.8031139839,0.9975,0.062,0.03,0.908,0.06042908072319836,0.4033673469387755,1.0
756,325.11,326.45,324.06,91153.3470428616,0.9994,0.093,0.036,0.871,0.11482506947784724,0.45454622281011164,1.0
757,324.39,325.47,324.05,60589.177049292804,0.9989,0.072,0.041,0.888,0.1762376142376142,0.46477248677248684,1.0
758,323.32,324.05,323.32,12980.3931704997,0.9987,0.095,0.067,0.838,0.11163805038805044,0.4966788298038299,1.0
759,324.45,324.45,323.1,30065.397589322998,0.9995,0.107,0.047,0.846,0.09701546380650855,0.4605393238602191,0.0
760,325.29,326.76,323.21,80739.03042645028,0.9992,0.081,0.033,0.886,0.11272391797869506,0.4768020761969803,0.0
