unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1649480400,2022-04-09 05:00:00,BTC/USD,42421.72,42645.22,42421.72,42598.74,13.14149716,559811.2207295784
1649476800,2022-04-09 04:00:00,BTC/USD,42421.79,42547.01,42359.97,42433.27,13.68214014,580577.9467384578
1649473200,2022-04-09 03:00:00,BTC/USD,42193.94,42460.36,42131.51,42399.61,28.84749721,1223122.631180088
1649469600,2022-04-09 02:00:00,BTC/USD,42428.49,42456.12,42180.19,42196.47,9.53746543,402447.3738930321
1649466000,2022-04-09 01:00:00,BTC/USD,42440.82,42482.49,42312.30,42452.41,14.32638414,608189.5333287774
1649462400,2022-04-09 00:00:00,BTC/USD,42258.22,42463.51,42175.00,42447.39,142.09017907,6031357.246154128
1649458800,2022-04-08 23:00:00,BTC/USD,42312.66,42361.44,42120.00,42290.11,66.16363975,2798067.6030278727
1649455200,2022-04-08 22:00:00,BTC/USD,42565.17,42672.65,42255.00,42324.19,63.56188763,2690205.4088107697
1649451600,2022-04-08 21:00:00,BTC/USD,42836.89,42877.30,42458.35,42582.78,31.66755003,1348492.3160664835
1649448000,2022-04-08 20:00:00,BTC/USD,42739.32,42881.70,42565.11,42814.11,42.66572619,1826695.094328541
1649444400,2022-04-08 19:00:00,BTC/USD,42945.14,43205.89,42656.62,42745.99,87.13462253,3724655.7033211547
1649440800,2022-04-08 18:00:00,BTC/USD,43000.00,43320.99,42410.48,42938.98,198.77746584,8535301.630154444
1649437200,2022-04-08 17:00:00,BTC/USD,43468.07,43475.20,42840.30,43016.22,142.33874121,6122874.606412427
1649433600,2022-04-08 16:00:00,BTC/USD,43674.95,43738.26,43414.53,43457.93,36.77486245,1598159.3981117285
1649430000,2022-04-08 15:00:00,BTC/USD,43768.77,43975.53,43619.85,43680.07,106.53772436,4653575.257685505
1649426400,2022-04-08 14:00:00,BTC/USD,42913.81,43866.61,42913.05,43780.99,121.77459670,5331412.400376732
1649422800,2022-04-08 13:00:00,BTC/USD,43160.24,43211.36,42760.12,42927.71,141.84095957,6088907.578542684
1649419200,2022-04-08 12:00:00,BTC/USD,43300.81,43449.49,43116.54,43180.66,78.26742470,3379639.0550463027
1649415600,2022-04-08 11:00:00,BTC/USD,43567.14,43582.66,43268.91,43306.09,60.24969096,2609178.5391859463
1649412000,2022-04-08 10:00:00,BTC/USD,43610.75,43641.66,43527.36,43571.62,28.98634193,1262981.8757640265
1649408400,2022-04-08 09:00:00,BTC/USD,43709.65,43791.29,43550.00,43609.35,25.93262354,1130904.856374099
1649404800,2022-04-08 08:00:00,BTC/USD,43782.37,43986.09,43677.89,43730.53,73.16360369,3199483.1660736557
1649401200,2022-04-08 07:00:00,BTC/USD,43573.05,43785.98,43422.78,43777.15,29.31874142,1283490.940954553
1649397600,2022-04-08 06:00:00,BTC/USD,43667.56,43673.97,43495.60,43590.75,16.62034913,724493.4838385475
1649394000,2022-04-08 05:00:00,BTC/USD,43563.53,43692.27,43499.06,43669.60,7.06652712,308592.412719552
1649390400,2022-04-08 04:00:00,BTC/USD,43626.73,43673.57,43499.10,43554.14,9.44923609,411553.3515569126
1649386800,2022-04-08 03:00:00,BTC/USD,43614.88,43709.11,43567.69,43629.84,17.67756224,771269.2121212416
1649383200,2022-04-08 02:00:00,BTC/USD,43642.17,43712.50,43584.53,43634.70,20.11390836,877664.357116092
1649379600,2022-04-08 01:00:00,BTC/USD,43347.60,43677.17,43325.38,43630.35,32.15318018,1402854.504866463
1649376000,2022-04-08 00:00:00,BTC/USD,43467.82,43535.58,43310.71,43337.69,15.50769538,672067.6949928722
1649372400,2022-04-07 23:00:00,BTC/USD,43644.16,43754.47,43449.94,43454.53,30.44724340,1323070.651742602
1649368800,2022-04-07 22:00:00,BTC/USD,43531.64,43647.56,43488.93,43642.16,17.50472797,763944.1388232153
1649365200,2022-04-07 21:00:00,BTC/USD,43610.01,43611.85,43207.63,43534.46,48.00303551,2089786.2292886744
1649361600,2022-04-07 20:00:00,BTC/USD,43389.57,43606.55,43389.57,43584.92,16.15765487,704230.0948965603
1649358000,2022-04-07 19:00:00,BTC/USD,43694.05,43780.43,43390.22,43400.00,61.12726788,2652923.425992
1649354400,2022-04-07 18:00:00,BTC/USD,43673.72,43828.03,43535.04,43703.07,84.40439548,3688731.203970124
1649350800,2022-04-07 17:00:00,BTC/USD,43502.03,43707.58,43485.82,43673.72,39.77275620,1737024.2179070641
1649347200,2022-04-07 16:00:00,BTC/USD,43339.82,43507.66,43274.35,43502.68,59.25835477,2577897.2448857836
1649343600,2022-04-07 15:00:00,BTC/USD,43429.28,43554.34,43041.06,43340.01,84.32155596,3654497.0785219595
1649340000,2022-04-07 14:00:00,BTC/USD,43674.84,43791.35,43358.15,43433.11,112.60857021,4890940.416873653
1649336400,2022-04-07 13:00:00,BTC/USD,43549.96,43682.16,43329.49,43661.16,106.68477926,4657981.216835542
1649332800,2022-04-07 12:00:00,BTC/USD,43766.17,43896.45,43549.96,43549.96,84.26940469,3669929.2034733123
1649329200,2022-04-07 11:00:00,BTC/USD,43410.30,43855.99,43322.49,43764.88,86.33920450,3778624.9242379596
1649325600,2022-04-07 10:00:00,BTC/USD,43467.12,43494.30,43345.69,43410.30,18.84324177,817990.778208231
1649322000,2022-04-07 09:00:00,BTC/USD,43539.31,43539.31,43300.00,43462.73,43.89634997,1907855.2067316184
1649318400,2022-04-07 08:00:00,BTC/USD,43443.41,43555.41,43429.29,43539.31,17.81639738,775713.6486110078
1649314800,2022-04-07 07:00:00,BTC/USD,43392.79,43550.19,43368.10,43458.67,54.28139860,2358997.388895862
1649311200,2022-04-07 06:00:00,BTC/USD,43400.40,43497.96,43315.64,43391.99,20.30178756,880934.9627856445
1649307600,2022-04-07 05:00:00,BTC/USD,43403.44,43451.67,43230.32,43407.41,23.68582074,1028140.1320476835
1649304000,2022-04-07 04:00:00,BTC/USD,43319.00,43494.81,43224.20,43446.98,83.23111832,3616140.7330266736
1649300400,2022-04-07 03:00:00,BTC/USD,43366.36,43415.90,43165.06,43334.62,15.83891780,686373.4840742361
1649296800,2022-04-07 02:00:00,BTC/USD,43389.79,43408.88,43127.40,43374.86,13.14979611,570370.5652997947
1649293200,2022-04-07 01:00:00,BTC/USD,42909.11,43417.85,42901.21,43381.19,115.55311223,5012831.516740954
1649289600,2022-04-07 00:00:00,BTC/USD,43172.83,43563.62,42741.52,42916.15,144.18048678,6187671.397723497
1649286000,2022-04-06 23:00:00,BTC/USD,43544.84,43627.16,43115.57,43191.59,106.21616732,4587645.150256839
1649282400,2022-04-06 22:00:00,BTC/USD,43866.13,43878.88,43499.00,43524.53,13.56884953,590577.7984339709
1649278800,2022-04-06 21:00:00,BTC/USD,43878.13,44009.50,43810.09,43866.13,38.48035180,1687984.114504534
1649275200,2022-04-06 20:00:00,BTC/USD,43772.45,44028.74,43720.20,43894.96,110.58316323,4854043.526654321
1649271600,2022-04-06 19:00:00,BTC/USD,43855.09,43963.09,43528.35,43772.68,101.17043314,4428500.995298616
1649268000,2022-04-06 18:00:00,BTC/USD,43817.86,44281.67,43086.80,43825.90,316.53499206,13872430.908522354
1649264400,2022-04-06 17:00:00,BTC/USD,43762.65,43934.06,43386.46,43815.00,197.89406572,8670728.4895218
1649260800,2022-04-06 16:00:00,BTC/USD,44171.78,44262.47,43550.00,43780.02,316.99223693,13877926.472640136
1649257200,2022-04-06 15:00:00,BTC/USD,44246.27,44294.61,43705.73,44178.07,354.59036556,15665117.99103527
1649253600,2022-04-06 14:00:00,BTC/USD,44189.75,44447.68,43801.74,44269.40,447.50820343,19810919.660924044
1649250000,2022-04-06 13:00:00,BTC/USD,44761.16,44953.12,44038.90,44187.92,182.10346703,8046773.432844277
