unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1649361600,2022-04-07 20:00:00,ETH/USD,3218.25,3244.00,3218.25,3240.38,256.86393249,832336.7495619463
1649358000,2022-04-07 19:00:00,ETH/USD,3238.79,3247.42,3216.84,3216.84,219.77525659,706981.8364089757
1649354400,2022-04-07 18:00:00,ETH/USD,3228.34,3240.78,3222.97,3239.83,139.77295511,452840.6131540313
1649350800,2022-04-07 17:00:00,ETH/USD,3220.12,3239.00,3213.87,3226.27,424.15107881,1368425.9010323386
1649347200,2022-04-07 16:00:00,ETH/USD,3198.22,3221.22,3194.64,3219.19,304.12374461,979032.117411066
1649343600,2022-04-07 15:00:00,ETH/USD,3189.02,3202.47,3159.55,3199.00,835.01214910,2671203.8649709
1649340000,2022-04-07 14:00:00,ETH/USD,3230.67,3239.93,3182.82,3189.17,544.32897498,1735957.6371369667
1649336400,2022-04-07 13:00:00,ETH/USD,3236.02,3236.02,3200.76,3228.92,2126.43374284,6866084.440930933
1649332800,2022-04-07 12:00:00,ETH/USD,3252.47,3270.97,3229.07,3231.66,552.91905139,1786846.3816150075
1649329200,2022-04-07 11:00:00,ETH/USD,3221.80,3261.56,3209.95,3251.23,882.23524233,2868349.686920566
1649325600,2022-04-07 10:00:00,ETH/USD,3229.42,3231.18,3216.96,3223.53,160.50291664,517385.9668765392
1649322000,2022-04-07 09:00:00,ETH/USD,3226.16,3232.12,3204.34,3228.27,345.30482043,1114737.192649556
1649318400,2022-04-07 08:00:00,ETH/USD,3227.10,3233.63,3217.77,3225.87,191.11426595,616509.7771001265
1649314800,2022-04-07 07:00:00,ETH/USD,3215.75,3234.78,3210.32,3226.87,649.52512069,2095933.1262009402
1649311200,2022-04-07 06:00:00,ETH/USD,3217.83,3223.26,3203.38,3214.22,303.85737626,976664.4559224172
1649307600,2022-04-07 05:00:00,ETH/USD,3207.02,3220.58,3197.60,3219.57,94.91516017,305586.00222852686
1649304000,2022-04-07 04:00:00,ETH/USD,3188.95,3210.91,3185.07,3206.23,202.07462085,647897.7116078956
1649300400,2022-04-07 03:00:00,ETH/USD,3189.33,3192.73,3169.38,3188.95,65.21409332,207964.482892814
1649296800,2022-04-07 02:00:00,ETH/USD,3197.19,3198.40,3168.48,3184.68,119.45802873,380435.59493585635
1649293200,2022-04-07 01:00:00,ETH/USD,3153.18,3197.65,3145.60,3194.85,832.44345883,2659531.9844430257
1649289600,2022-04-07 00:00:00,ETH/USD,3167.97,3207.66,3142.73,3152.73,333.80445449,1052395.3178042579
1649286000,2022-04-06 23:00:00,ETH/USD,3193.80,3208.28,3163.21,3168.93,232.57818271,737023.9805352002
