unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1649116800,2022-04-05 00:00:00,BCH/USD,375.62,375.78,372.78,373.11,112.35244623,41919.8212128753
1649113200,2022-04-04 23:00:00,BCH/USD,375.42,376.89,374.90,375.92,513.13335527,192897.09091309842
1649109600,2022-04-04 22:00:00,BCH/USD,373.57,375.88,371.94,374.87,125.67792213,47112.8826688731
1649106000,2022-04-04 21:00:00,BCH/USD,372.45,373.90,371.17,373.90,162.84023171,60885.962636369004
1649102400,2022-04-04 20:00:00,BCH/USD,368.73,372.42,368.73,371.24,52.93096645,19650.091984898
1649098800,2022-04-04 19:00:00,BCH/USD,369.96,370.63,369.17,370.46,38.96882498,14436.3909020908
1649095200,2022-04-04 18:00:00,BCH/USD,366.07,368.93,362.77,368.93,109.49275278,40395.1612831254
1649091600,2022-04-04 17:00:00,BCH/USD,372.12,372.12,364.51,366.77,132.43172690,48571.984475113
1649088000,2022-04-04 16:00:00,BCH/USD,371.90,373.46,370.74,372.11,131.69419806,49004.7280401066
1649084400,2022-04-04 15:00:00,BCH/USD,374.30,374.47,371.81,371.88,119.02986913,44264.8277320644
1649080800,2022-04-04 14:00:00,BCH/USD,377.81,378.69,376.22,377.09,117.62370551,44354.723110765895
1649077200,2022-04-04 13:00:00,BCH/USD,374.61,378.18,374.10,377.87,125.95285828,47593.806558263605
1649073600,2022-04-04 12:00:00,BCH/USD,375.94,376.70,372.88,372.95,140.18613694,52282.419771773006
1649070000,2022-04-04 11:00:00,BCH/USD,372.31,374.77,372.04,374.77,64.25870769,24082.235880981298
1649066400,2022-04-04 10:00:00,BCH/USD,373.62,373.62,369.77,371.66,240.94795273,89550.7161116318
1649062800,2022-04-04 09:00:00,BCH/USD,374.20,374.93,373.79,374.37,27.15256736,10165.1066425632
1649059200,2022-04-04 08:00:00,BCH/USD,377.33,377.33,374.46,375.21,92.93236284,34869.1518611964
1649055600,2022-04-04 07:00:00,BCH/USD,377.94,377.94,376.47,377.33,167.41630051,63171.1926714383
1649052000,2022-04-04 06:00:00,BCH/USD,376.05,377.79,375.90,377.79,78.56576187,29681.359176867303
1649048400,2022-04-04 05:00:00,BCH/USD,374.26,376.36,373.53,376.36,208.78226525,78577.29334949
1649044800,2022-04-04 04:00:00,BCH/USD,375.81,375.81,374.32,374.32,87.71204698,32832.3734255536
1649041200,2022-04-04 03:00:00,BCH/USD,378.08,379.43,376.71,376.71,270.42088841,101870.25287293109
1649037600,2022-04-04 02:00:00,BCH/USD,373.61,377.99,372.42,377.99,372.52239651,140809.74065681492
1649034000,2022-04-04 01:00:00,BCH/USD,373.42,374.66,372.73,374.56,107.92485801,40424.3348162256
1649030400,2022-04-04 00:00:00,BCH/USD,377.66,377.66,372.88,374.12,195.10738246,72993.5739259352
1649026800,2022-04-03 23:00:00,BCH/USD,377.78,379.97,377.06,378.84,129.50217133,49060.6025866572
1649023200,2022-04-03 22:00:00,BCH/USD,377.28,381.32,376.79,378.22,586.07322713,221664.6159651086
1649019600,2022-04-03 21:00:00,BCH/USD,374.81,377.43,374.81,377.43,295.29536823,111453.33083104891
1649016000,2022-04-03 20:00:00,BCH/USD,374.43,375.28,374.27,374.84,166.02811861,62233.9799797724
1649012400,2022-04-03 19:00:00,BCH/USD,374.57,375.60,373.87,374.89,349.19058561,130908.0586393329
1649008800,2022-04-03 18:00:00,BCH/USD,374.58,375.65,374.13,374.66,133.27844229,49934.1011883714
1649005200,2022-04-03 17:00:00,BCH/USD,375.86,375.86,374.29,374.61,171.69723242,64319.500236856205
1649001600,2022-04-03 16:00:00,BCH/USD,376.64,376.71,374.89,376.41,120.99057537,45542.0624750217
1648998000,2022-04-03 15:00:00,BCH/USD,377.36,377.43,376.17,376.28,64.98821362,24453.765020933595
1648994400,2022-04-03 14:00:00,BCH/USD,376.89,377.11,375.25,376.45,128.16118290,48246.277302705
1648990800,2022-04-03 13:00:00,BCH/USD,376.68,377.73,375.70,377.28,226.96102083,85627.8539387424
1648987200,2022-04-03 12:00:00,BCH/USD,375.09,376.85,374.48,376.85,129.72084527,48885.30053999951
1648983600,2022-04-03 11:00:00,BCH/USD,375.43,376.53,374.42,376.42,229.32174306,86321.2905226452
1648980000,2022-04-03 10:00:00,BCH/USD,375.64,375.78,374.78,375.09,99.75745055,37418.0221267995
1648976400,2022-04-03 09:00:00,BCH/USD,374.15,375.81,373.84,375.29,104.29168495,39139.62644488551
1648972800,2022-04-03 08:00:00,BCH/USD,377.58,377.59,375.52,375.52,50.92087120,19121.805553023998
1648969200,2022-04-03 07:00:00,BCH/USD,378.60,378.61,377.19,377.58,191.68425588,72376.1413351704
1648965600,2022-04-03 06:00:00,BCH/USD,377.90,378.84,377.04,378.24,226.02946371,85493.3843536704
1648962000,2022-04-03 05:00:00,BCH/USD,378.31,378.74,377.94,378.05,177.96805203,67280.8220699415
1648958400,2022-04-03 04:00:00,BCH/USD,376.74,377.87,376.13,377.87,99.08990617,37443.102844457906
1648954800,2022-04-03 03:00:00,BCH/USD,371.28,375.82,371.28,375.82,166.63223192,62623.7254001744
1648951200,2022-04-03 02:00:00,BCH/USD,372.40,373.40,370.05,371.75,514.67624735,191330.89495236252
1648947600,2022-04-03 01:00:00,BCH/USD,373.12,373.15,368.56,372.19,121.18343952,45103.2643549488
1648944000,2022-04-03 00:00:00,BCH/USD,372.54,374.34,372.54,373.93,39.79762807,14881.5270642151
1648940400,2022-04-02 23:00:00,BCH/USD,375.51,376.50,372.24,372.25,102.53480217,38168.5801077825
1648936800,2022-04-02 22:00:00,BCH/USD,376.15,376.65,374.87,375.16,62.33207079,23384.4996775764
1648933200,2022-04-02 21:00:00,BCH/USD,375.79,376.10,374.59,376.08,236.03666716,88768.6697855328
