https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1649286000,2022-04-06 23:00:00,ADA/USD,1.06778,1.07455,1.04777,1.04777,7087.83031441,7426.415968529366
1649282400,2022-04-06 22:00:00,ADA/USD,1.07413,1.07413,1.07000,1.07016,1598.69532512,1710.8597891304191
1649278800,2022-04-06 21:00:00,ADA/USD,1.09640,1.09640,1.09482,1.09488,743.45743756,813.9966792356929
1649275200,2022-04-06 20:00:00,ADA/USD,1.09529,1.09529,1.09084,1.09371,4603.33532873,5034.713882385287
1649271600,2022-04-06 19:00:00,ADA/USD,1.09086,1.09527,1.08783,1.09527,681.94983613,746.919197018105
1649268000,2022-04-06 18:00:00,ADA/USD,1.10624,1.10624,1.07946,1.09465,15936.09601919,17444.44750740633
1649264400,2022-04-06 17:00:00,ADA/USD,1.07728,1.07728,1.06196,1.07234,24392.67380429,26157.23982729234
1649260800,2022-04-06 16:00:00,ADA/USD,1.09871,1.09871,1.07223,1.07730,44083.61378294,47491.27712836126
1649257200,2022-04-06 15:00:00,ADA/USD,1.10263,1.10263,1.08550,1.09232,19688.26920490,21505.890217896365
1649253600,2022-04-06 14:00:00,ADA/USD,1.10042,1.11274,1.09707,1.11000,9157.57943312,10164.9131707632
1649250000,2022-04-06 13:00:00,ADA/USD,1.11288,1.11422,1.10239,1.10570,8810.14816691,9741.380828152385
1649246400,2022-04-06 12:00:00,ADA/USD,1.10817,1.11900,1.10726,1.11900,16062.46782945,17973.901501154553
1649242800,2022-04-06 11:00:00,ADA/USD,1.12000,1.12000,1.11036,1.11809,24687.62232350,27602.983643682117
1649239200,2022-04-06 10:00:00,ADA/USD,1.13845,1.14111,1.12381,1.12381,5094.62784769,5725.393721512499
1649235600,2022-04-06 09:00:00,ADA/USD,1.14282,1.14289,1.14000,1.14000,10912.02959798,12439.713741697198
1649232000,2022-04-06 08:00:00,ADA/USD,1.13891,1.14589,1.13706,1.14589,2706.12471429,3100.9212488577687
1649228400,2022-04-06 07:00:00,ADA/USD,1.15529,1.15529,1.15529,1.15529,0.00000000,0.0
1649224800,2022-04-06 06:00:00,ADA/USD,1.14985,1.15529,1.14985,1.15529,397.07938420,458.74184177241796
