unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1649577600,2022-04-10 08:00:00,AAVE/USD,179.74,180.15,179.74,180.15,14.11145689,2542.1789587335
1649574000,2022-04-10 07:00:00,AAVE/USD,180.18,180.18,180.18,180.18,4.86341240,876.289646232
1649570400,2022-04-10 06:00:00,AAVE/USD,180.07,180.75,180.07,180.75,23.20314291,4193.9680809825
1649566800,2022-04-10 05:00:00,AAVE/USD,180.86,181.04,180.23,180.23,315.64145840,56888.060047431994
1649563200,2022-04-10 04:00:00,AAVE/USD,181.99,181.99,179.93,180.84,20.75639021,3753.5856055763998
1649559600,2022-04-10 03:00:00,AAVE/USD,183.72,185.51,183.72,183.97,69.99923475,12877.7592169575
1649556000,2022-04-10 02:00:00,AAVE/USD,183.20,183.20,183.20,183.20,0.00000000,0.0
1649552400,2022-04-10 01:00:00,AAVE/USD,182.87,183.26,182.87,183.20,0.38171370,69.92994983999999
1649548800,2022-04-10 00:00:00,AAVE/USD,184.82,184.82,182.08,182.08,82.59534505,15038.960426704001
1649545200,2022-04-09 23:00:00,AAVE/USD,184.16,184.60,184.16,184.60,13.30041804,2455.257170184
1649541600,2022-04-09 22:00:00,AAVE/USD,183.59,183.59,183.59,183.59,0.00000000,0.0
1649538000,2022-04-09 21:00:00,AAVE/USD,182.04,183.59,181.95,183.59,50.40918697,9254.6226358223
1649534400,2022-04-09 20:00:00,AAVE/USD,183.31,183.31,182.00,182.00,27.11945181,4935.74022942
1649530800,2022-04-09 19:00:00,AAVE/USD,183.68,183.81,183.68,183.74,51.50544758,9463.6109383492
1649527200,2022-04-09 18:00:00,AAVE/USD,183.29,183.91,183.29,183.91,8.34033623,1533.8712360593
1649523600,2022-04-09 17:00:00,AAVE/USD,179.21,180.99,179.21,180.99,66.52104358,12039.6436775442
1649520000,2022-04-09 16:00:00,AAVE/USD,177.57,180.13,177.57,180.13,2.26538408,408.0636343304
1649516400,2022-04-09 15:00:00,AAVE/USD,180.80,180.80,178.26,178.26,14.16038278,2524.2298343628
1649512800,2022-04-09 14:00:00,AAVE/USD,179.64,179.64,179.64,179.64,0.30287626,54.4086913464
1649509200,2022-04-09 13:00:00,AAVE/USD,181.31,182.56,181.31,182.56,8.05024920,1469.653493952
1649505600,2022-04-09 12:00:00,AAVE/USD,179.17,179.17,179.05,179.05,57.95355773,10376.5845115565
1649502000,2022-04-09 11:00:00,AAVE/USD,179.58,179.83,179.58,179.83,9.50232452,1708.8030184316
1649498400,2022-04-09 10:00:00,AAVE/USD,179.55,179.55,179.19,179.19,36.01620286,6453.7433904834
1649494800,2022-04-09 09:00:00,AAVE/USD,181.66,181.94,181.15,181.46,51.47459925,9340.580779905
1649491200,2022-04-09 08:00:00,AAVE/USD,181.41,182.13,181.07,182.13,244.20966501,44477.9062882713
